Model,Accuracy,Precision,Recall,F1-Score,AUC
XGBoost,0.9925424181250938,0.9162702188392008,0.7284417549167927,0.8116308470290771,0.9715454720980733
Random Forest,0.9922254291863395,0.9385245901639344,0.6928895612708018,0.7972149695387293,0.9762438091090921
Decision Tree,0.9920585929027845,0.9204771371769384,0.7004538577912254,0.7955326460481099,0.9481028374738685
Logistic Regression,0.9851015198785432,0.8443017656500803,0.3978819969742814,0.5408740359897172,0.9378481874065593
KNN,0.9830661172191728,0.9665653495440729,0.2405446293494705,0.38522107813446393,0.7376692752824
SVM,0.9828325464221959,0.980327868852459,0.22617246596066565,0.36754763368162263,0.9099948337675606
Naive Bayes,0.942875256510786,0.23711855927963982,0.7170953101361573,0.35639097744360904,0.9272710639855322
Linear Regression,0.9801798495136722,0.9135802469135802,0.11195158850226929,0.19946091644204852,0.9196113894765005
